name,brand,price,longevity,sillage,gender_preference,occasion
Calvin Klein Eternity,Calvin Klein,267.21,8 hours,Strong,Unisex,Romantic
Versace Eros,Prada,272.21,12 hours,Soft,Unisex,Casual
Lancome La Vie Est Belle,Creed,167.24,7 hours,Soft,Female,Formal
Maison Francis Kurkdjian Baccarat Rouge 540,Dior,331.21,9 hours,Moderate,Unisex,Evening
Lancome La Vie Est Belle,Creed,382.09,8 hours,Moderate,Male,Summer
Calvin Klein Eternity,Dior,375.22,6 hours,Soft,Male,Formal
Paco Rabanne 1 Million,Prada,333.0,9 hours,Moderate,Female,Casual
Prada Luna Rossa,Lancome,369.31,10 hours,Moderate,Male,Formal
Prada Luna Rossa,Dolce & Gabbana,136.93,7 hours,Strong,Male,Work
Burberry Brit,Hugo Boss,209.16,8 hours,Moderate,Male,Luxury
Burberry Brit,Calvin Klein,325.3,12 hours,Soft,Unisex,Formal
Dolce & Gabbana Light Blue,Lancome,160.05,10 hours,Strong,Male,Evening
Burberry Brit,Burberry,73.71,10 hours,Soft,Female,Work
Dolce & Gabbana Light Blue,Prada,255.46,6 hours,Moderate,Unisex,Luxury
Chanel No. 5,Prada,251.82,7 hours,Soft,Male,Daily
Chanel No. 5,Byredo,70.11,10 hours,Soft,Male,Party
Burberry Brit,Creed,104.29,10 hours,Moderate,Female,Formal
Jo Malone Peony & Blush Suede,Tom Ford,172.81,12 hours,Soft,Male,Evening
YSL Libre,Jo Malone,390.06,10 hours,Moderate,Male,Romantic
Armani Acqua di Gio,Maison Francis Kurkdjian,107.34,9 hours,Moderate,Unisex,Formal
Calvin Klein Eternity,Dior,94.19,6 hours,Strong,Male,Summer
Armani Acqua di Gio,Dior,384.28,9 hours,Moderate,Female,Romantic
Calvin Klein Eternity,Burberry,58.53,9 hours,Soft,Female,Romantic
Burberry Brit,Montblanc,230.62,6 hours,Moderate,Male,Formal
YSL Libre,Creed,262.83,12 hours,Strong,Female,Daily
Montblanc Legend,Dolce & Gabbana,341.9,9 hours,Soft,Male,Daily
Burberry Brit,Creed,230.52,8 hours,Moderate,Male,Casual
Jo Malone Peony & Blush Suede,Yves Saint Laurent,344.35,10 hours,Moderate,Female,Work
Creed Aventus,Gucci,106.83,6 hours,Strong,Unisex,Daily
Marc Jacobs Daisy,Byredo,123.38,12 hours,Strong,Male,Summer
Calvin Klein Eternity,Byredo,215.54,6 hours,Strong,Male,Evening
Hugo Boss Bottled,Marc Jacobs,264.63,7 hours,Moderate,Male,Daily
Prada Luna Rossa,Dolce & Gabbana,106.03,9 hours,Strong,Male,Summer
Maison Francis Kurkdjian Baccarat Rouge 540,Armani,134.53,6 hours,Strong,Male,Party
Paco Rabanne 1 Million,Hugo Boss,323.28,12 hours,Moderate,Unisex,Party
Jo Malone Peony & Blush Suede,Prada,286.85,7 hours,Soft,Unisex,Work
YSL Libre,Chanel,236.61,7 hours,Soft,Unisex,Casual
Tom Ford Noir,Prada,377.81,6 hours,Soft,Female,Summer
