name,brand,price,notes,scent_profile,longevity,sillage,gender_preference,occasion
Calvin Klein Leather 50,Versace,247.03,"oriental, woody",niche,8 hours,strong,female,special
Lancôme Citrus 13,Chanel,142.46,leather,luxury,8 hours,light,female,casual
Givenchy Fresh 47,Versace,173.85,gourmand,high-end,6 hours,strong,female,casual
Bvlgari Fruity 29,Chanel,272.05,woody,high-end,4 hours,strong,male,evening
Bvlgari Oriental 19,Hugo Boss,247.72,"fresh, amber",luxury,12+ hours,light,unisex,formal
Dior Oriental 23,Montblanc,160.1,amber,niche,4 hours,strong,male,formal
Tom Ford Oriental 30,Versace,156.87,gourmand,high-end,4 hours,strong,female,daytime
Creed Oriental 48,Chanel,133.44,fruity,high-end,4 hours,strong,unisex,daytime
Armani Fruity 46,Chanel,287.57,"aquatic, gourmand, floral",high-end,12+ hours,moderate,unisex,daytime
Burberry Fresh 5,Givenchy,264.35,"floral, woody, fresh",basic,4 hours,strong,unisex,evening
Gucci Woody 37,Creed,272.24,"citrus, floral",luxury,6 hours,strong,unisex,evening
Calvin Klein Fruity 38,Creed,154.28,"spicy, aquatic, amber",niche,6 hours,strong,female,daytime
Yves Saint Laurent Fruity 27,Yves Saint Laurent,242.19,amber,basic,12+ hours,light,unisex,formal
Armani Amber 49,Calvin Klein,190.84,spicy,niche,4 hours,strong,female,special
Burberry Leather 44,Burberry,125.35,citrus,niche,8 hours,moderate,male,casual
Burberry Fruity 27,Cartier,101.96,amber,high-end,12+ hours,light,male,daytime
Montblanc Oriental 8,Cartier,165.64,"gourmand, fresh",niche,12+ hours,light,unisex,casual
Cartier Spicy 40,Tom Ford,70.62,"oriental, floral",high-end,10 hours,light,female,casual
Prada Oriental 6,Bvlgari,253.07,oriental,high-end,12+ hours,moderate,male,evening
Chanel Spicy 37,Jo Malone,267.32,spicy,basic,12+ hours,light,female,special
Bvlgari Fresh 38,Lancôme,82.63,"aquatic, oriental, leather",basic,12+ hours,strong,male,formal
Cartier Gourmand 30,Versace,162.76,"aquatic, citrus, floral",luxury,12+ hours,light,female,evening
Tom Ford Spicy 6,Cartier,299.38,"floral, fruity, oriental",basic,12+ hours,light,female,evening
Armani Amber 45,Givenchy,158.16,gourmand,luxury,8 hours,strong,male,casual
Dolce & Gabbana Fresh 18,Gucci,223.31,fresh,basic,10 hours,light,unisex,daytime
Gucci Spicy 2,Givenchy,209.76,"leather, amber, fruity",niche,6 hours,moderate,male,special
Gucci Oriental 19,Burberry,111.74,leather,luxury,10 hours,moderate,male,evening
Gucci Floral 28,Montblanc,107.52,"leather, amber, gourmand",luxury,8 hours,strong,unisex,daytime
Burberry Floral 39,Hermes,73.36,"woody, fruity, spicy",high-end,6 hours,strong,unisex,casual
Prada Floral 6,Prada,195.33,"leather, oriental",niche,12+ hours,strong,female,evening
Lancôme Leather 42,Bvlgari,135.41,"fresh, woody",high-end,8 hours,moderate,male,special
Burberry Leather 29,Yves Saint Laurent,233.62,amber,niche,10 hours,strong,female,special
Calvin Klein Fresh 50,Chanel,214.52,"gourmand, fruity",niche,4 hours,strong,unisex,casual
Lancôme Fresh 23,Tom Ford,248.17,fruity,niche,6 hours,strong,female,casual
Yves Saint Laurent Leather 38,Montblanc,262.64,"citrus, gourmand",niche,10 hours,light,unisex,casual
Dolce & Gabbana Fresh 3,Hugo Boss,134.4,aquatic,niche,8 hours,moderate,female,special
Lancôme Amber 50,Creed,165.96,"oriental, woody, fresh",basic,12+ hours,light,male,daytime
Tom Ford Spicy 31,Prada,84.29,"oriental, leather, fruity",luxury,12+ hours,strong,female,special
Armani Fresh 43,Montblanc,136.01,fresh,niche,12+ hours,light,unisex,casual
Yves Saint Laurent Citrus 23,Prada,153.45,"citrus, leather, fresh",niche,10 hours,light,unisex,casual
